date,key,strength,confidence,summary
2026-07-28,industrial,0,高,回购公告 25 家;大宗溢价成交占比 1%。
2026-07-28,quant,0,中,"小微盘成交占比较20日均值偏离 +0.4pp,代理量化策略活跃度变化。"
2026-07-28,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-29,mutual_fund,1,中,全市场ETF份额环比 +0.63%(申赎代理);近7天新发权益基金 0亿份。
2026-07-29,industrial,0,高,回购公告 23 家;大宗溢价成交占比 2%。
2026-07-29,hot_money,1,高,"知名游资席位 1 个上榜,合计净买入 +1.4亿。"
2026-07-29,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-29,quant,0,中,"小微盘成交占比较20日均值偏离 -0.4pp,代理量化策略活跃度变化。"
2026-07-29,retail,-1,高,沪市融资余额环比 -153亿。
2026-07-29,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-30,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-30,industrial,1,高,回购公告 22 家;大宗溢价成交占比 13%。
2026-07-30,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-30,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-07-30,retail,,高,资金流与两融数据均缺失。
2026-07-30,mutual_fund,1,中,全市场ETF份额环比 +0.40%(申赎代理);近7天新发权益基金 0亿份。
2026-07-30,hot_money,0,高,"知名游资席位 1 个上榜,合计净买入 -0.1亿。"
2026-07-31,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-07-31,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-07-31,mutual_fund,1,中,全市场ETF份额环比 +0.83%(申赎代理);近7天新发权益基金 1亿份。
2026-07-31,retail,,高,资金流与两融数据均缺失。
2026-07-31,industrial,0,高,回购公告 22 家;大宗溢价成交占比 0%。
2026-07-31,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-07-31,hot_money,-1,高,"知名游资席位 4 个上榜,合计净买入 -0.9亿。"
2026-08-03,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-03,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-03,mutual_fund,-1,中,全市场ETF份额环比 -0.41%(申赎代理);近7天新发权益基金 1亿份。
2026-08-03,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-08-03,retail,,高,资金流与两融数据均缺失。
2026-08-03,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 -0.0亿。"
2026-08-03,industrial,-1,高,回购公告 16 家;大宗溢价成交占比 1%。
2026-08-04,hot_money,0,高,"知名游资席位 3 个上榜,合计净买入 +0.5亿。"
2026-08-04,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-04,industrial,0,高,回购公告 26 家;大宗溢价成交占比 3%。
2026-08-04,mutual_fund,1,中,全市场ETF份额环比 +0.65%(申赎代理);近7天新发权益基金 1亿份。
2026-08-04,retail,-1,高,沪市融资余额环比 -41亿。
2026-08-04,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-04,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-08-05,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-08-05,national_team,,低,"ETF数据缺失,无法判断。"
2026-08-05,industrial,2,高,回购公告 24 家;大宗溢价成交占比 31%。
2026-08-05,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 -0.3亿。"
2026-08-05,retail,,高,资金流与两融数据均缺失。
2026-08-05,mutual_fund,0,低,ETF份额环比待历史累积;近7天新发权益基金 0亿份。
2026-08-05,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-06,mutual_fund,0,中,全市场ETF份额环比 +nan%(申赎代理);近7天新发权益基金 0亿份。
2026-08-06,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-06,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 +0.1亿。"
2026-08-06,industrial,0,高,回购公告 14 家;大宗溢价成交占比 13%。
2026-08-06,retail,1,高,沪市融资余额环比 +60亿。
2026-08-06,quant,0,中,"小微盘成交占比较20日均值偏离 +1.6pp,代理量化策略活跃度变化。"
2026-08-06,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-07,mutual_fund,-1,中,全市场ETF份额环比 -0.52%(申赎代理);近7天新发权益基金 0亿份。
2026-08-07,industrial,-1,高,回购公告 12 家;大宗溢价成交占比 1%。
2026-08-07,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-07,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 +0.0亿。"
2026-08-07,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-07,quant,0,中,"小微盘成交占比较20日均值偏离 +1.5pp,代理量化策略活跃度变化。"
2026-08-07,retail,1,高,沪市融资余额环比 +49亿。
2026-08-10,quant,1,中,"小微盘成交占比较20日均值偏离 +2.0pp,代理量化策略活跃度变化。"
2026-08-10,hot_money,0,高,"知名游资席位 2 个上榜,合计净买入 +0.1亿。"
2026-08-10,industrial,-1,中,净增持家数 -8;回购公告 5 家;大宗溢价成交占比 9%。
2026-08-10,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-10,mutual_fund,-1,中,全市场ETF份额环比 -0.58%(申赎代理);近7天新发权益基金 6亿份。
2026-08-10,retail,1,中,沪市融资余额环比 +43亿。
2026-08-10,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-11,quant,0,中,"小微盘成交占比较20日均值偏离 +2.0pp,代理量化策略活跃度变化。"
2026-08-11,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-11,hot_money,0,高,"知名游资席位 3 个上榜,合计净买入 +0.1亿。"
2026-08-11,retail,1,中,沪市融资余额环比 +55亿。
2026-08-11,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-11,industrial,-2,中,净增持家数 -13;回购公告 14 家;大宗溢价成交占比 2%。
2026-08-11,mutual_fund,-1,中,全市场ETF份额环比 -0.43%(申赎代理);近7天新发权益基金 11亿份。
2026-08-12,quant,,低,"指数数据缺失,无法计算小微盘成交占比。"
2026-08-12,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-12,industrial,-2,中,净增持家数 -17;回购公告 6 家;大宗溢价成交占比 0%。
2026-08-12,mutual_fund,0,中,全市场ETF份额环比 -0.22%(申赎代理);近7天新发权益基金 5亿份。
2026-08-12,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-12,hot_money,0,高,"知名游资席位 4 个上榜,合计净买入 -0.3亿。"
2026-08-12,retail,1,中,沪市融资余额环比 +55亿。
2026-08-13,industrial,-2,中,净增持家数 -11;回购公告 10 家;大宗溢价成交占比 0%。
2026-08-13,hot_money,0,高,"知名游资席位 1 个上榜,合计净买入 +0.2亿。"
2026-08-13,quant,1,中,"小微盘成交占比较20日均值偏离 +2.6pp,代理量化策略活跃度变化。"
2026-08-13,mutual_fund,0,中,全市场ETF份额环比 -0.06%(申赎代理);近7天新发权益基金 1亿份。
2026-08-13,insurance_social,0,低,"无涉险资/社保公告;险资无每日数据,默认视为中性。"
2026-08-13,national_team,0,中,"宽基ETF成交平稳,未见国家队明显动作。"
2026-08-13,retail,1,中,沪市融资余额环比 +48亿。
